"행정구역별",2013.1/2,2013.2/2,2014.1/2,2014.2/2,2015.1/2,2015.2/2,2016.1/2,2016.2/2,2017.1/2,2017.2/2,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2
"행정구역별",실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％)
"서울 종로구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6,4.0,3.5,3.0,2.8,4.0
"서울 중구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,4.3,4.1,4.3,3.8,2.4
"서울 용산구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.7,4.8,4.3,3.6,3.4,3.6
"서울 성동구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.4,5.0,4.1,3.3,3.0,3.2
"서울 광진구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.7,3.8,3.9,3.2,3.3,4.1
"서울 동대문구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,4.7,4.1,3.2,4.4,3.4
"서울 중랑구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,5.1,4.2,4.5,3.4,3.2
"서울 성북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,4.6,4.7,4.3,3.4,3.3
"서울 강북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,5.6,4.9,4.3,3.5,4.1
"서울 도봉구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,5.9,4.8,4.6,3.9,3.8
"서울 노원구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.9,3.6,3.6,3.7,3.5,3.4
"서울 은평구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,4.6,4.3,3.9,4.3,4.0
"서울 서대문구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.6,5.1,4.3,4.3,4.0,3.7
"서울 마포구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.7,3.5,3.1,3.8,3.2,5.1
"서울 양천구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.3,3.7,4.2,3.4,3.8,2.2
"서울 강서구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.7,3.9,4.1,3.2,3.6,2.2
"서울 구로구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.1,4.7,3.3,3.4,3.6,3.2
"서울 금천구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.8,5.3,5.0,4.7,3.5,3.9
"서울 영등포구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3,3.9,3.9,3.7,2.7,3.0
